id,ruta,nombre,tipo,codigo,version,estado,fecha,propietario,aprobador,registrado_indice,registrado_control_cambios,fuente_heredada,documentos_referenciados,referenciado_por,clasificacion,hallazgos,accion_recomendada
INV-001,00_Gestion_Proyecto/,00_Diagnostico_Inicial_Proyecto.md,MD,GDP-GPR-000,1.1,Borrador,2026-07-16,[RESPONSABLE_DOCUMENTACION],[PRODUCT_OWNER],Si,Si,No,"ADR-011..021, tecnologías","00_Indice, 00_Plan, 02_Alcance",Diagnóstico histórico,Referencia histórica válida; hechos históricos aún vigentes,No requiere cambios
INV-002,00_Gestion_Proyecto/,00_Indice_Maestro_Documentacion.md,MD,GDP-IDX-001,3.0,Borrador,2026-07-16,[RESPONSABLE_DOCUMENTACION],[PRODUCT_OWNER],Si,Si,No,"156 documentos anunciados","00_Diagnostico, 00_Plan, 07_Control",Índice maestro,Define estructura objetivo; 69 doc. pendientes,Mantener; actualizar próxima versión
INV-003,00_Gestion_Proyecto/,00_Plan_Generacion_Documental.md,MD,GDP-PLN-001,1.1,Borrador,2026-07-16,[PRODUCT_OWNER],[PATROCINADOR],Si,Si,No,"7 fases, roles, dependencias","00_Diagnostico, 00_Indice",Plan de generación,Hoja de ruta documental clara; fechas pendientes,Usar como guía Fase 2+
INV-004,00_Gestion_Proyecto/,01_Acta_Inicio_Proyecto.md,MD,GDP-GPR-001,0.1,Borrador,2026-08-05,[PROJECT_MANAGER],[PATROCINADOR],No*,Si,No,"Objetivos, actores","02_Alcance, 03_Objetivos",Gobierno inicial,*Índice dice No iniciado; archivo existe Borrador v0.1,Actualizar índice
INV-005,00_Gestion_Proyecto/,02_Alcance_Proyecto.md,MD,GDP-GPR-002,0.2,Borrador,2026-07-16,[PRODUCT_OWNER],[PATROCINADOR],Si,Si,No,"13 capacidades MVP, ADR-011..021","00_Diagnostico, 01_Acta, RF-*",Alcance aprobado,Alineado con ADR y requisitos,Mantener; validar con cliente piloto
INV-006,00_Gestion_Proyecto/,03_Objetivos_Proyecto.md,MD,GDP-GPR-003,0.1,Borrador,2026-08-05,[PRODUCT_OWNER],[PATROCINADOR],Si,Si,No,"7 fases, milestones","02_Alcance, 04_Interesados",Objetivos de fase,Claros y secuenciados,Completar con fechas Fase 1
INV-007,00_Gestion_Proyecto/,04_Interesados_Stakeholders.md,MD,GDP-GPR-004,0.1,Borrador,2026-08-05,[PROJECT_MANAGER],[PATROCINADOR],Si,Si,No,"9 roles identificados","05_Matriz_RACI, 00_Plan",Interesados,Roles definidos; titulares [PLACEHOLDER],Asignar responsables Fase 1
INV-008,00_Gestion_Proyecto/,05_Matriz_RACI.csv,CSV,GDP-GPR-005,0.1,Borrador,2026-08-05,[PROJECT_MANAGER],[PATROCINADOR],Si,Si,No,"9 actividades, roles","04_Interesados, 08_Registro",Matriz RACI,Estructura presente; celdas pendiente,Completar nominación Fase 1
INV-009,00_Gestion_Proyecto/,06_Glosario.md,MD,GDP-GPR-006,0.1,Borrador,2026-08-05,[ARQUITECTO],[PRODUCT_OWNER],Si,Si,No,"Términos técnicos, archivísticos","00_Diagnostico, RF-*, RN-*",Glosario operativo,Definiciones iniciales coherentes,Enriquecer Fase 2 según nuevos términos
INV-010,00_Gestion_Proyecto/,07_Control_Cambios.md,MD,GDP-GPR-007,1.0,Borrador,2026-08-05,[RESPONSABLE_DOCUMENTACION],[PROJECT_MANAGER],Si,Si,No,"23 cambios registrados","00_Indice, 00_Plan, versiones",Control de cambios,Operativo; auditoría de modificaciones,Actualizar con cambios Fase 1
