documento_codigo,documento_version,documento_estado,fecha,propietario,revisores,aprobador,rf_id,objetivo_id,regla_id,criterio_aceptacion_id,caso_prueba_id,evento_comando,riesgo,estado_trazabilidad,observaciones
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-001,OBJ-001,RN-IAM-002,CA-IAM-001,CP-FUN-001,EVT-001|EVT-002,RSK-003,Completa,Alta organizacional
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-002,OBJ-001,RN-IAM-002,CA-IAM-002,CP-FUN-002,EVT-003,RSK-003,Completa,Estructura
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-003,OBJ-004,RN-IAM-003,CA-IAM-003,CP-FUN-003,,RSK-008,Completa,Invitacion
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-004,OBJ-004,RN-IAM-003,CA-IAM-004,CP-SEG-001,EVT-004,RSK-008,Completa,Vinculo Keycloak
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-005,OBJ-003|OBJ-004,RN-IAM-001,CA-IAM-005,CP-SEG-002,EVT-004,RSK-001,Completa,Membresia
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-006,OBJ-004,RN-IAM-004,CA-IAM-006,CP-SEG-003,,RSK-008,Completa,MFA
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-007,OBJ-004,RN-IAM-004,CA-IAM-007,CP-SEG-004,EVT-005,RSK-008,Completa,RBAC
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-IAM-008,OBJ-003,RN-IAM-001,CA-IAM-008,CP-MTN-001,,RSK-001,Completa,Cambio tenant
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-001,OBJ-001,RN-DOC-001,CA-DOC-001,CP-FUN-009,,RSK-003,Completa,Series
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-002,OBJ-001,RN-DOC-001,CA-DOC-002,CP-FUN-010,,RSK-003,Completa,Subseries
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-003,OBJ-001,RN-DOC-001,CA-DOC-003,CP-FUN-011,EVT-006,RSK-003,Completa,Tipos
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-004,OBJ-001|OBJ-005,RN-DOC-002,CA-DOC-004,CP-FUN-012,EVT-008,RSK-005,Completa,Documento logico
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-005,OBJ-005,RN-DOC-003,CA-DOC-005,CP-SEG-005,,RSK-005,Completa,Carga
GDP-REQ-009,1.0,Aprobado,2026-08-05,Álvaro Patiño Cruz,David Ernesto Antequera Martínez|Álvaro Patiño Cruz,Wilmar Betancur Valencia,RF-DOC-006,OBJ-005,RN-DOC-003,CA-DOC-006,CP-FUN-013,CMD-001|CMD-002,RSK-005,Completa,Confirmacion
