ID,Categoria,Riesgo,Causa,Consecuencia,Probabilidad_1_5,Impacto_1_5,Exposicion,Nivel,Respuesta,Acciones,Dueno,Disparador,Indicador,Estado,Fecha_revision,Objetivos_relacionados
RSK-001,Seguridad,Fuga de información entre tenants,"Contexto de tenant ausente, filtros incompletos o acceso privilegiado indebido","Violación de confidencialidad, sanciones, pérdida de confianza",4,5,20,Crítico,Mitigar,RLS; contexto obligatorio; prefijos de objeto; pruebas antifuga; revisión independiente; acceso JIT,[RESPONSABLE_SEGURIDAD],Resultado cruzado o alerta de acceso entre organizaciones,Hallazgos críticos/altos de aislamiento,Abierto,7/16/2026,OBJ-003;OBJ-004
RSK-002,Legal,Requisitos derivados de normas desactualizadas o mal aplicadas,Uso de resúmenes/copias sin validar vigencia y ámbito,Incumplimiento o sobreimplementación costosa,3,5,15,Alto,Mitigar,Matriz por artículo; fuente oficial; fecha de consulta; revisión jurídica,[ASESOR_JURIDICO],Norma modificada o concepto contradictorio,Obligaciones sin fuente/validación,Abierto,7/16/2026,OBJ-008;OBJ-012
RSK-003,Alcance,Crecimiento no controlado del alcance de 56 módulos,Segmentos múltiples y ausencia de criterios de exclusión,"Retraso, baja calidad y MVP no viable",5,4,20,Crítico,Mitigar,Baseline MVP; roadmap; control de cambios; capacidad por fase,[PRODUCT_OWNER],Nueva capacidad sin sustitución ni análisis,Variación de alcance y backlog Must,Abierto,7/16/2026,OBJ-001;OBJ-002
RSK-004,Archivo_Privacidad,Supresión de datos en conflicto con retención documental o legal,Reglas de privacidad y archivo diseñadas por separado,Eliminación indebida o vulneración de derechos,4,5,20,Crítico,Mitigar,Decisión por base jurídica; legal hold; trazabilidad; revisión archivo-jurídico-privacidad,[RESPONSABLE_DATOS],Solicitud de supresión sobre expediente retenido,Casos sin decisión/base jurídica,Abierto,7/16/2026,OBJ-008
RSK-005,Integridad,Pérdida de integridad o autenticidad documental,"Sobrescritura, hash insuficiente, controles débiles o almacenamiento mal configurado",Documento no confiable o párdida probatoria,3,5,15,Alto,Mitigar,Versionado; hash; bloqueo por estado; auditoría; verificación de fixity; backup,[LIDER_ARCHIVISTICO],Hash no coincide o versión desaparece,Errores de integridad por periodo,Abierto,7/16/2026,OBJ-005;OBJ-007
RSK-006,Arquitectura,Dependencia excesiva de proveedores,Uso directo de servicios propietarios en dominios críticos,"Costos de salida, bloqueo o imposibilidad on-premise",3,4,12,Alto,Mitigar,Puertos/adaptadores; formatos abiertos; pruebas MinIO; plan de salida,[ARQUITECTO],Proveedor cambia precio/API/SLA,Componentes críticos sin abstracción,Abierto,7/16/2026,OBJ-011
RSK-007,Capacidad,RNF y diseño de capacidad inválidos,"No existen volúmenes, concurrencia ni patrones reales",Sobrecosto o degradación en producción,5,4,20,Crítico,Mitigar,Perfil de carga; rangos 12/24/36 meses; pruebas; revisión de índices,[PRODUCT_OWNER],Cliente piloto supera hipótesis,Desviación carga real vs perfil,Abierto,7/16/2026,OBJ-006;OBJ-009
RSK-008,Seguridad,Acceso de soporte a documentos sin necesidad/autorización,Privilegios permanentes o proceso informal,Exposición de información sensible,3,5,15,Alto,Mitigar,JIT; doble aprobación; sesión grabada/auditada; enmascaramiento; caducidad,[LIDER_OPERACIONES],Solicitud de soporte con acceso a contenido,Accesos privilegiados sin ticket/aprobación,Abierto,7/16/2026,OBJ-003;OBJ-004;OBJ-007
RSK-009,Seguridad,Carga de malware o contenido activo,Portal y usuarios aceptan archivos externos,"Compromiso de usuarios, servicio o repositorio",4,4,16,Crítico,Mitigar,Cuarentena; antivirus; tipos permitidos; límites; CDR según riesgo; sandbox,[RESPONSABLE_SEGURIDAD],Detección o fallo del analizador,Archivos liberados sin veredicto,Abierto,7/16/2026,OBJ-004;OBJ-009
RSK-010,Continuidad,Backup no restaurable o no recuperable por tenant,Copias sin pruebas ni diseño de restauración selectiva,Párdida de datos e incumplimiento de RTO/RPO,3,5,15,Alto,Mitigar,Cifrado; catálogo; restore periódico; recuperación selectiva/exportación; evidencia,[LIDER_OPERACIONES],Fallo de simulacro o corrupción,Tasa de restauraciones exitosas,Abierto,7/16/2026,OBJ-009
