documento_codigo,documento_version,estado_documento,fecha,propietario,rf_id,cp_id,suite_documento,prioridad,automatizacion_objetivo,estado_ejecucion,evidencia_esperada
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-001,CP-FUN-001,03_Casos_Prueba_Funcionales.md,P1,API-integracion,No ejecutado,reporte+junit+eventos
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-002,CP-FUN-002,03_Casos_Prueba_Funcionales.md,P1,API-integracion,No ejecutado,reporte+junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-003,CP-FUN-003,03_Casos_Prueba_Funcionales.md,P1,E2E-API,No ejecutado,playwright+junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-004,CP-SEG-001,04_Casos_Prueba_Seguridad.md,P0,Integracion-seguridad,No ejecutado,junit+hallazgos
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-005,CP-SEG-002,04_Casos_Prueba_Seguridad.md,P0,E2E-seguridad,No ejecutado,playwright+audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-006,CP-SEG-003,04_Casos_Prueba_Seguridad.md,P0,E2E-Keycloak,No ejecutado,playwright+Keycloak-events
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-007,CP-SEG-004,04_Casos_Prueba_Seguridad.md,P0,API-seguridad,No ejecutado,junit+audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-IAM-008,CP-MTN-001,14_Plan_Pruebas_Multitenant.md,P0,E2E-multitenant,No ejecutado,playwright+trace
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-001,CP-FUN-009,03_Casos_Prueba_Funcionales.md,P1,Integracion,No ejecutado,junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-002,CP-FUN-010,03_Casos_Prueba_Funcionales.md,P1,Integracion,No ejecutado,junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-003,CP-FUN-011,03_Casos_Prueba_Funcionales.md,P1,API-contrato,No ejecutado,junit+contract
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-004,CP-FUN-012,03_Casos_Prueba_Funcionales.md,P1,API-OpenAPI,No ejecutado,junit+problem-details
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-005,CP-SEG-005,04_Casos_Prueba_Seguridad.md,P0,Integracion-objeto,No ejecutado,junit+object-audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-006,CP-FUN-013,03_Casos_Prueba_Funcionales.md,P0,API-integracion,No ejecutado,junit+object-state
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-007,CP-SEG-006,04_Casos_Prueba_Seguridad.md,P0,Worker-seguridad,No ejecutado,junit+trace
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-008,CP-FUN-014,03_Casos_Prueba_Funcionales.md,P0,Integracion,No ejecutado,junit+hash-evidence
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-009,CP-CON-001,03_Casos_Prueba_Funcionales.md,P0,Concurrencia-DB,No ejecutado,junit+db-state
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-010,CP-SEG-007,04_Casos_Prueba_Seguridad.md,P0,Seguridad-E2E,No ejecutado,scan+object-state+audit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-011,CP-FUN-015,03_Casos_Prueba_Funcionales.md,P1,API-integracion,No ejecutado,junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-012,CP-CON-002,03_Casos_Prueba_Funcionales.md,P0,Concurrencia-DB,No ejecutado,junit+db-state
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-013,CP-FUN-017,03_Casos_Prueba_Funcionales.md,P1,API-seguridad,No ejecutado,junit
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-DOC-014,CP-FUN-018,03_Casos_Prueba_Funcionales.md,P1,Integracion,No ejecutado,junit+index-hash
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-001,CP-CON-003,03_Casos_Prueba_Funcionales.md,P0,API-concurrencia,No ejecutado,junit+events
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-002,CP-CON-004,03_Casos_Prueba_Funcionales.md,P0,API-concurrencia,No ejecutado,junit+events
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-003,CP-CON-005,03_Casos_Prueba_Funcionales.md,P0,k6-concurrencia,No ejecutado,k6+db-constraints
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-004,CP-FUN-022,03_Casos_Prueba_Funcionales.md,P1,API-snapshot,No ejecutado,junit+artifact
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-005,CP-FUN-023,03_Casos_Prueba_Funcionales.md,P1,Integracion,No ejecutado,junit+event
GDP-TST-009,0.1,Borrador,2026-07-16,[LIDER_QA],RF-COR-006,CP-SEG-008,04_Casos_Prueba_Seguridad.md,P0,API-seguridad,No ejecutado,junit+audit
