Dominio,Servicio,Capacidad,Entidad_o_dato,Propietario_escritura,Lectores_autorizados,Interfaz_sincrona,Evento_principal,Clasificacion,Tenancy,Retencion_origen,Notas
D01,identity-access-service,Organizaciones,organizations,identity-access-service,"Todos por API/proyección",REST,organization.created.v1,Confidencial,tenant/global,Contrato y política,Identidad de cliente
D01,identity-access-service,Tenants,tenants,identity-access-service,"Todos por claim/API",REST,tenant.activated.v1,Confidencial,global,Contrato,Límite de aislamiento
D01,identity-access-service,Estructura,headquarters;departments,identity-access-service,"Documental;Correspondencia",REST,organization.structure.changed.v1,Interna,tenant,Política cliente,No copiar datos innecesarios
D01,identity-access-service,Identidades,users;memberships,identity-access-service,"Servicios por subject/claim",OIDC+REST,user.membership.changed.v1,Personal privada,global+tenant,Política identidad,Keycloak conserva credenciales
D01,identity-access-service,Autorización,roles;permissions;user_roles;delegations,identity-access-service,"Todos mediante claims/policy",REST,authorization.assignment.changed.v1,Confidencial,tenant,Política seguridad,Permiso contextual vive en dominio recurso
D02,document-core-service,Clasificación,series;subseries;document_types,document-core-service,"Correspondencia;Auditoría",REST,classification.instrument.published.v1,Interna,tenant,Instrumento vigente,Versionado por vigencia
D02,document-core-service,Retención,retention_schedules;valuation_tables,document-core-service,"Correspondencia;Auditoría",REST,retention.schedule.published.v1,Interna,tenant,Normativa/instrumento,No ejecutar sin aprobación
D02,document-core-service,Documentos,documents;document_metadata,document-core-service,"Correspondencia;Auditoría;Procesamiento por referencia",REST,document.created.v1,Variable,tenant,TRD/base legal,Autoridad sobre metadatos oficiales
D02,document-core-service,Versiones,document_versions;document_files,document-core-service,"Procesamiento;Correspondencia",REST,document.version.registered.v1,Variable,tenant,TRD/base legal,Blob físico en S3/MinIO
D02,document-core-service,Expedientes,records;files,document-core-service,"Correspondencia;Auditoría",REST,record.created.v1,Variable,tenant,TRD/base legal,Índice y cierre
D02,document-core-service,Transferencias,transfers,document-core-service,"Auditoría",REST,transfer.completed.v1,Interna,tenant,Instrumento/acta,Workflow propio del dominio
D02,document-core-service,Disposición,dispositions,document-core-service,"Auditoría;Procesamiento",REST,disposition.authorized.v1,Restringida,tenant,Acta/norma,Separación de funciones
D03,correspondence-workflow-service,Correspondencia,correspondences;incoming_records;outgoing_records;internal_records,correspondence-workflow-service,"Documental;Auditoría;Notificaciones",REST,correspondence.registered.v1,Variable,tenant,TRD/base legal,Referencia a document_id
D03,correspondence-workflow-service,Consecutivos,sequences,correspondence-workflow-service,"Auditoría por evento",REST,correspondence.number.assigned.v1,Interna,tenant,Política radicación,Consistencia fuerte local
D03,correspondence-workflow-service,Workflow,workflows;workflow_steps;tasks;approvals,correspondence-workflow-service,"Auditoría;Notificaciones",REST,workflow.task.assigned.v1,Confidencial,tenant,Proceso/expediente,No compartir tablas
D04,document-processing-worker,Procesamiento,processing_jobs,document-processing-worker,"Documental por estado/evento",REST interno,processing.job.completed.v1,Interna,tenant,Operacional,Idempotente
D04,document-processing-worker,Antivirus,scan_results,document-processing-worker,"Documental;Auditoría",REST interno,document.malware.scan.completed.v1,Seguridad,tenant,Política seguridad,Veredicto antes de liberar
D04,document-processing-worker,OCR,ocr_results,document-processing-worker,"Documental según aprobación",REST interno,document.ocr.completed.v1,Variable,tenant,Derivada del documento,Texto puede contener sensibles
D04,document-processing-worker,Integridad,integrity_checks,document-processing-worker,"Documental;Auditoría",REST interno,document.integrity.checked.v1,Seguridad,tenant,TRD/control,No sustituye versión oficial
D05,audit-compliance-service,Auditoría,audit_logs,audit-compliance-service,"Auditores autorizados",Consulta REST,audit.event.recorded.v1,Restringida,tenant+plataforma,Política legal/seguridad,Append-only lógico y sellado
D05,audit-compliance-service,Consentimientos,consent_logs,audit-compliance-service,"Privacidad;titular según proceso",REST,privacy.consent.recorded.v1,Personal privada,tenant,Finalidad/base legal,Evidencia técnica auditable
D05,audit-compliance-service,Derechos titulares,privacy_requests,audit-compliance-service,"Responsable datos;áreas asignadas",REST,privacy.request.status.changed.v1,Personal privada,tenant,Término legal/archivo,No implica supresión absoluta
D05,audit-compliance-service,Incidentes,incidents,audit-compliance-service,"Seguridad;legal;privacidad",REST,security.incident.reported.v1,Restringida,tenant+plataforma,Política incidentes,Acceso muy limitado
D06,notification-integration-service,Notificaciones,notifications;delivery_attempts,notification-integration-service,"Servicio originador;Auditoría mínima",REST,notification.delivery.completed.v1,Personal privada,tenant,Política canal,Contenido minimizado
D06,notification-integration-service,Integraciones,integrations;webhook_subscriptions;webhook_deliveries,notification-integration-service,"Servicios originadores",REST+Webhook,integration.delivery.completed.v1,Confidencial,tenant,Contrato,Secretos fuera de tablas de negocio
D07,commercial-billing-service,Suscripciones,plans;subscriptions;usage_records,commercial-billing-service,"IAM para entitlement;Auditoría",REST,subscription.status.changed.v1,Confidencial,tenant,Contrato,Fase 3
D07,commercial-billing-service,Pagos y facturas,payments;invoices,commercial-billing-service,"Finanzas;Auditoría",REST+Webhook,payment.confirmed.v1,Financiera,tenant,Normativa tributaria,Fase 3; no almacenar PAN/CVV
